,bbm_id,Name,Status,bbm_abr_2018,Conf,Pos,Age,g,Date,m,player_id,carmelo,pipm,espn,oRPM,dRPM,oPIPM,dPIPM,xORPM,xDRPM,oKPM,dKPM,bbm_abr_2019,tenure,MP,new_coach,USG,oRL,dRL,same_team,o_regress,d_regress
83,3020,Darren Collison,Unrestricted Free Agent,IND,3.0,PG/SG,31.1,71.0,43386,1988.0,/players/c/collida01.html,Darren Collison,Darren Collison,Darren Collison,1.4,-1.5,1.12,-0.75,2.66,-1.15,1.75,-1.3199999999999998,IND,9.0,2233.1,0.0,17.4,-0.9,-0.9,True,1.0,1.0
84,3932,Zach LaVine,New Contract,CHI,3.0,PG/SG,23.6,74.0,43389,2516.0,/players/l/lavinza01.html,Zach LaVine,Zach LaVine,Zach LaVine,0.5,-1.9,0.03,-1.39,-0.69,-2.88,0.096,-2.143,CHI,4.0,655.7,0.0,29.5,-0.9,-0.9,True,1.0,1.0
85,3015,Serge Ibaka,Position Battle,TOR,3.0,PF/C,29.1,76.0,43386,2052.0,/players/i/ibakase01.html,Serge Ibaka,Serge Ibaka,Serge Ibaka,-1.1,0.7,-0.36,0.5,-0.33,1.03,-0.5565,0.7011000000000001,TOR,9.0,2353.3,1.0,19.4,-1.55,0.8,False,0.7,0.9
86,5308,Malcolm Brogdon,Restricted Free Agent,MIL,2.0,PG/SG,25.8,74.5,43386,2197.5,/players/b/brogdma01.html,Malcolm Brogdon,Malcolm Brogdon,Malcolm Brogdon,0.7,-1.1,-0.57,-1.31,0.96,-0.55,0.651,-0.9560000000000001,MIL,2.0,1622.9,0.0,19.1,-0.9,-0.9,True,1.0,1.0
87,3000,Tyreke Evans,Bust CandidateNew TeamUnrestricted Free AgentNew Contract,IND,3.0,PG/SG,29.1,69.0,43386,2036.5,/players/e/evansty01.html,Tyreke Evans,Tyreke Evans,Tyreke Evans,1.7,-0.1,1.31,-0.37,1.85,0.01,1.1942000000000002,-0.08460000000000001,MEM,9.0,1605.5,0.0,28.4,-0.9,-0.9,False,0.7,0.9
88,2631,J.J. Redick,Position BattleUnrestricted Free AgentNew Contract,PHI,4.0,SG,34.3,75.0,43386,2063.0,/players/r/redicjj01.html,JJ Redick,J.J. Redick,JJ Redick,1.4,-2.3,1.83,-0.54,2.11,-1.74,1.656,-1.956,PHI,12.0,2459.1,0.0,21.7,-1.1,-0.8,True,1.0,1.0
89,2824,Danilo Gallinari,Injury Prone,LAC,3.0,SF/PF,30.2,60.0,43388,2011.5,/players/g/gallida01.html,Danilo Gallinari,Danilo Gallinari,Danilo Gallinari,0.4,-0.2,0.88,0.17,-0.23,0.79,0.259,0.134,LAC,9.0,669.7,0.0,20.6,-1.4,0.05,True,1.0,1.0
90,5484,Jordan Bell,Position BattleRestricted Free Agent,GSW,2.0,PF/C,23.8,76.0,43388,1520.0,/players/b/belljo01.html,Jordan Bell,Jordan Bell,Jordan Bell,0.0,2.8,-0.7,1.13,0.36,2.23,0.038000000000000006,2.4619999999999997,GSW,1.0,983.0,0.0,13.9,-1.55,0.8,True,1.0,1.0
91,3132,Derrick Favors,New Contract,UTA,4.0,PF/C,27.3,75.5,43388,2077.0,/players/f/favorde01.html,Derrick Favors,Derrick Favors,Derrick Favors,-0.9,1.6,-0.43,0.81,-0.42,1.64,-0.7090000000000001,1.533,UTA,8.0,2441.2,0.0,18.5,-1.55,0.8,True,1.0,1.0
92,5038,Cedi Osman,Breakout Candidate,CLE,2.0,SF/PF,23.5,76.5,43389,2371.5,/players/o/osmande01.html,Cedi Osman,Cedi Osman,Cedi Osman,-0.7,-0.7,-0.76,0.36,-0.07,-1.05,-0.517,-0.699,CLE,1.0,734.2,0.0,15.7,-1.4,0.05,True,1.0,1.0
93,2769,Thaddeus Young,Unrestricted Free Agent,IND,3.0,SF/PF,30.3,77.5,43386,2286.5,/players/y/youngth01.html,Thaddeus Young,Thaddeus Young,Thaddeus Young,-1.1,1.5,-0.8,1.31,-0.43,2.08,-0.869,1.655,IND,11.0,2844.2,0.0,17.3,-1.4,0.05,True,1.0,1.0
94,5014,Montrezl Harrell,New Contract,LAC,3.0,PF/C,24.7,76.0,43388,1710.0,/players/h/harremo01.html,Montrezl Harrell,Montrezl Harrell,Montrezl Harrell,0.3,0.0,0.73,-0.34,1.61,-0.1,0.736,-0.064,LAC,3.0,1292.3,0.0,23.8,-1.55,0.8,True,1.0,1.0
